line,OE,ME
1781,ofer eald        gewin    éagum starige!,after ancient strife            could gaze with my eyes!
1782,Gá nú tó        setle·     symbelwynne dréoh,"Go now to the        bench,    join in the pleasure-banquet,"
1783,wíggeweorþad·    unc sceal worn        fela,honoured by your        battle;    we must very many
1784,máþma        gemaénra    siþðan morgen bið.',treasures share between        us    when it is morning.'
1785,Géat wæs        glædmód·     géong sóna tó,"The Geat was        glad-hearted,    went straightaway to"
1786,setles        néosan    swá se snottra heht·,"seek the        bench,    as the wise one had commanded;"
1787,þá wæs eft swá        aér     ellenrófum,"then it was again as        before    for bold warriors,"
1788,fletsittendum    fægere gereorded,for those sitting in the        hall    they prepared a fine feast
1789,níowan        stefne·    nihthelm geswearc,"once again;    the        helm of night darkened,"
1790,deorc ofer        dryhtgumum·    duguð eal árás·,dark over the company of        warriors;    the veterans all arose;
1791,"wolde        blondenfeax    beddes néosan,","the blended-haired one       wishes    to seek his bed, "
1792,gamela        Scylding·    Géat unigmetes wél,"the aged        Scylding;    the Geat exceedingly much,"
1793,rófne        randwigan    restan lyste·,"valiant        shield-warrior,    desired rest;"
1794,sóna him        seleþegn    síðes wérgum,at once him the        hall-thane    the weary journeyer
1795,feorrancundum    orð wísade,"from afar    guided        forth,"
1796,sé for        andrysnum    ealle beweotede,who for        courtesy    looked after everything
1797,þegnes        þearfe    swylce þý dógore,"of the hero's        needs,    such as in those days"
1798,heaþolíðende    habban scoldon·,warrior-sailors    were obliged to        have;
1799,reste hine þá        rúmheort·     reced hlíuade,"rested him then, the large-hearted        man;    the hall towered"
1800,géap ond        goldfáh·    gæst inne swæf,vaulted and        gold-adorned;    the guest slept inside
1801,oþ þæt hrefn        blaca    heofones wynne,"until the black        raven,    the        joy of the sky"
1802,blíðheort        bodode.    Ðá cóm beorht scacan,"declared        glad-heartedly.    Then came bright        hurrying,"
1803,scaþan ónetton·,fighters hastening;
1804,waéron        æþelingas    eft tó léodum,the nobles        were    back to their people
1805,fúse tó        farenne·    wolde feor þanon,"eager to        fare;    he wished far thence,"
1806,cuma        collenferhð    céoles néosan.,"the high-spirited        visitor,    to seek his ship."
1807,Heht þá se        hearda    Hrunting beran,He then directed the tough        man    to wear Hrunting
1808,sunu        Ecgláfes·    heht his sweord niman,"the son of        Edgelaf,    bid him take his sword,"
1809,léoflíc        íren·    sægde him þæs léanes        þanc·,"beloved        iron;    said thanks to him for the loan,"
1810,cwæð: hé þone        gúðwine     gódne tealde,"quoth: he the        war-friend    marked well,"
1811,wígcræftigne·     nales wordum        lóg,skilled in        war;    he did not in words blame
1812,méces        ecge·    þæt wæs módig secg.,the maiche's edge;    he was a proud        man.
1813,"Ond þá        síðfrome,    searwum gearwe","And then, eager to be        going,    ready in arms,"
1814,wígend        waéron    éode weorð Denum,"were the warriors,            the one honoured by the Danes went,"
1815,æþeling tó        yppan    þaér se óþer wæs,"noble to the high        seat,    where the other was,"
1816,hæle        hildedéor    Hróðgár grétte.,the battle-bold        hero    greeted Hrothgar.
1817,Béowulf        maþelode    bearn Ecgþéowes:,"Beowulf        spoke,    the son of Edgetheow:"
1818,'Nú wé        saélíðend       secgan wyllað,'Now we        sea-farers     wish to say
1819,feorran        cumene    þæt wé fundiaþ,"having come from        afar,    that we are anxious"
1820,Higelác        sécan·    waéron hér tela,to seek        Hygelac;    we here were well
1821,willum        bewenede·    þú ús wél dohtest.,entertained in our        desires;    you have treated us well.
1822,Gif ic þonne on        eorþan    ówihte mæg,If then on earth        I    can (do) anything
1823,"þínre        módlufan    máran tilian,","of your        affections    earn more,"
1824,"gumena        dryhten,    ðonne ic gýt dyde,","lord of        men,    than I have done yet,"
1825,gúðgeweorca    ic        béo gearo sóna,"with feats of        arms,    I am ready at once,"
1826,gif ic þæt        gefricge    ofer flóda begang,"if I find it        out    over the flood's expanse,"
1827,þæt þec        ymbsittend    egesan þýwað,"that you        neighbouring-tribes    oppress with terror,"
1828,swá þec        hetende    hwílum dydon,"as enemies to        you    sometimes did,"
1829,ic ðé        þúsenda    þegna bringe,"I to you a        thousand    thanes will bring,"
1830,"hæleþa tó        helpe.    Ic on Higeláce wát,","heroes as        help.    I know of Hygelac,"
1831,Géata        dryhten    þéah ðe hé geong syÿ,"the lord of the        Geats,    though he is young,"
1832,folces        hyrde·    þæt hé mec fremman wile,"the keeper of the        folk,    that he would support me"
